rep,rangepars,x,y,pres
58,30,97,1,1
58,30,103,1,1
58,30,67,4,1
58,30,119,4,1
58,30,21,5,1
58,30,12,6,1
58,30,13,10,1
58,30,85,11,1
58,30,19,14,1
58,30,9,15,1
58,30,29,16,1
58,30,113,17,1
58,30,16,18,1
58,30,73,20,1
58,30,99,20,1
58,30,64,22,1
58,30,97,22,1
58,30,114,23,1
58,30,5,24,1
58,30,65,24,1
58,30,86,25,1
58,30,5,29,1
58,30,58,30,1
58,30,106,30,1
58,30,115,31,1
58,30,101,37,1
58,30,72,38,1
58,30,39,39,1
58,30,63,39,1
58,30,127,39,1
58,30,3,40,1
58,30,19,40,1
58,30,3,41,1
58,30,114,41,1
58,30,100,43,1
58,30,128,43,1
58,30,69,44,1
58,30,20,46,1
58,30,13,48,1
58,30,65,49,1
58,30,44,50,1
58,30,78,53,1
58,30,48,54,1
58,30,56,54,1
58,30,40,55,1
58,30,25,57,1
58,30,21,58,1
58,30,1,62,1
58,30,74,62,1
58,30,103,62,1
58,30,92,63,1
58,30,116,64,1
58,30,36,65,1
58,30,64,65,1
58,30,52,68,1
58,30,20,72,1
58,30,72,75,1
58,30,84,75,1
58,30,37,76,1
58,30,66,76,1
58,30,101,76,1
58,30,125,76,1
58,30,128,77,1
58,30,38,79,1
58,30,88,80,1
58,30,7,81,1
58,30,108,83,1
58,30,10,84,1
58,30,92,84,1
58,30,122,87,1
58,30,32,89,1
58,30,87,89,1
58,30,11,90,1
58,30,43,91,1
58,30,124,91,1
58,30,35,92,1
58,30,119,92,1
58,30,6,93,1
58,30,38,95,1
58,30,97,96,1
58,30,86,98,1
58,30,43,104,1
58,30,117,106,1
58,30,6,109,1
58,30,63,109,1
58,30,106,110,1
58,30,39,112,1
58,30,14,113,1
58,30,80,113,1
58,30,69,115,1
58,30,15,116,1
58,30,65,116,1
58,30,25,118,1
58,30,99,118,1
58,30,29,119,1
58,30,61,119,1
58,30,70,123,1
58,30,4,125,1
58,30,5,126,1
58,30,108,126,1
