rep,rangepars,x,y,pres
7,15,34,1,1
7,15,56,3,1
7,15,127,3,1
7,15,82,5,1
7,15,46,9,1
7,15,61,9,1
7,15,44,11,1
7,15,86,11,1
7,15,6,12,1
7,15,94,13,1
7,15,114,13,1
7,15,20,15,1
7,15,7,16,1
7,15,22,18,1
7,15,48,19,1
7,15,47,20,1
7,15,107,20,1
7,15,37,22,1
7,15,57,22,1
7,15,2,23,1
7,15,65,23,1
7,15,35,24,1
7,15,66,24,1
7,15,67,31,1
7,15,112,33,1
7,15,115,37,1
7,15,14,38,1
7,15,113,39,1
7,15,68,40,1
7,15,57,41,1
7,15,70,41,1
7,15,123,41,1
7,15,30,43,1
7,15,46,43,1
7,15,33,45,1
7,15,57,45,1
7,15,79,45,1
7,15,91,45,1
7,15,114,45,1
7,15,29,46,1
7,15,50,48,1
7,15,47,49,1
7,15,43,50,1
7,15,27,51,1
7,15,91,52,1
7,15,114,52,1
7,15,75,53,1
7,15,28,55,1
7,15,113,57,1
7,15,13,59,1
7,15,54,61,1
7,15,90,61,1
7,15,78,62,1
7,15,103,64,1
7,15,21,66,1
7,15,40,67,1
7,15,40,72,1
7,15,63,73,1
7,15,110,73,1
7,15,91,75,1
7,15,32,78,1
7,15,16,79,1
7,15,28,80,1
7,15,125,81,1
7,15,53,82,1
7,15,40,85,1
7,15,51,88,1
7,15,103,88,1
7,15,69,89,1
7,15,14,92,1
7,15,37,92,1
7,15,127,92,1
7,15,7,93,1
7,15,8,94,1
7,15,51,94,1
7,15,30,95,1
7,15,59,96,1
7,15,67,96,1
7,15,36,97,1
7,15,91,98,1
7,15,108,99,1
7,15,14,101,1
7,15,81,103,1
7,15,73,104,1
7,15,123,104,1
7,15,49,105,1
7,15,56,106,1
7,15,67,106,1
7,15,113,106,1
7,15,67,108,1
7,15,13,109,1
7,15,32,109,1
7,15,110,110,1
7,15,23,113,1
7,15,55,113,1
7,15,124,115,1
7,15,44,117,1
7,15,31,118,1
7,15,4,128,1
7,15,17,128,1
