rep,rangepars,x,y,pres
17,5,51,4,1
17,5,54,4,1
17,5,46,7,1
17,5,45,8,1
17,5,113,8,1
17,5,61,10,1
17,5,72,10,1
17,5,95,12,1
17,5,123,13,1
17,5,102,16,1
17,5,67,17,1
17,5,81,17,1
17,5,86,19,1
17,5,86,23,1
17,5,101,25,1
17,5,123,25,1
17,5,19,26,1
17,5,104,27,1
17,5,76,29,1
17,5,36,36,1
17,5,122,37,1
17,5,101,39,1
17,5,15,40,1
17,5,26,40,1
17,5,53,44,1
17,5,110,44,1
17,5,15,45,1
17,5,73,47,1
17,5,110,47,1
17,5,52,48,1
17,5,102,48,1
17,5,12,51,1
17,5,48,51,1
17,5,115,52,1
17,5,92,55,1
17,5,106,56,1
17,5,101,57,1
17,5,125,57,1
17,5,28,58,1
17,5,45,58,1
17,5,125,58,1
17,5,56,59,1
17,5,70,59,1
17,5,97,59,1
17,5,125,59,1
17,5,10,66,1
17,5,19,68,1
17,5,37,68,1
17,5,92,68,1
17,5,113,68,1
17,5,121,68,1
17,5,23,69,1
17,5,11,73,1
17,5,64,75,1
17,5,97,75,1
17,5,15,76,1
17,5,58,78,1
17,5,84,78,1
17,5,88,78,1
17,5,64,80,1
17,5,127,80,1
17,5,4,81,1
17,5,57,82,1
17,5,29,83,1
17,5,84,83,1
17,5,47,84,1
17,5,83,87,1
17,5,108,92,1
17,5,118,92,1
17,5,18,94,1
17,5,5,95,1
17,5,4,96,1
17,5,95,97,1
17,5,67,98,1
17,5,112,98,1
17,5,10,99,1
17,5,42,99,1
17,5,78,99,1
17,5,49,101,1
17,5,89,101,1
17,5,84,102,1
17,5,108,103,1
17,5,31,105,1
17,5,108,107,1
17,5,124,107,1
17,5,93,109,1
17,5,116,112,1
17,5,74,114,1
17,5,90,114,1
17,5,118,114,1
17,5,38,115,1
17,5,23,116,1
17,5,94,118,1
17,5,80,119,1
17,5,16,120,1
17,5,108,120,1
17,5,123,123,1
17,5,55,124,1
17,5,127,124,1
17,5,91,126,1
