rep,rangepars,x,y,pres
74,15,43,2,1
74,15,86,2,1
74,15,64,3,1
74,15,116,4,1
74,15,59,7,1
74,15,30,8,1
74,15,31,9,1
74,15,98,9,1
74,15,100,10,1
74,15,82,11,1
74,15,96,13,1
74,15,94,15,1
74,15,43,16,1
74,15,88,20,1
74,15,108,21,1
74,15,24,23,1
74,15,7,24,1
74,15,124,24,1
74,15,30,28,1
74,15,64,28,1
74,15,124,28,1
74,15,5,30,1
74,15,92,30,1
74,15,126,31,1
74,15,60,32,1
74,15,102,32,1
74,15,28,33,1
74,15,120,35,1
74,15,84,36,1
74,15,54,37,1
74,15,45,38,1
74,15,66,40,1
74,15,94,41,1
74,15,89,42,1
74,15,67,43,1
74,15,76,43,1
74,15,114,46,1
74,15,112,48,1
74,15,83,49,1
74,15,85,49,1
74,15,18,53,1
74,15,57,53,1
74,15,33,54,1
74,15,106,54,1
74,15,50,56,1
74,15,54,58,1
74,15,68,58,1
74,15,59,59,1
74,15,97,59,1
74,15,112,59,1
74,15,27,60,1
74,15,102,60,1
74,15,72,62,1
74,15,113,63,1
74,15,78,64,1
74,15,25,67,1
74,15,66,74,1
74,15,54,76,1
74,15,104,76,1
74,15,103,78,1
74,15,108,78,1
74,15,16,79,1
74,15,39,80,1
74,15,36,81,1
74,15,15,82,1
74,15,23,82,1
74,15,47,83,1
74,15,79,83,1
74,15,120,83,1
74,15,59,84,1
74,15,47,88,1
74,15,48,89,1
74,15,3,90,1
74,15,114,90,1
74,15,7,91,1
74,15,112,92,1
74,15,56,93,1
74,15,70,95,1
74,15,6,96,1
74,15,73,96,1
74,15,106,98,1
74,15,28,99,1
74,15,125,99,1
74,15,74,100,1
74,15,128,102,1
74,15,40,103,1
74,15,106,105,1
74,15,27,108,1
74,15,126,110,1
74,15,114,113,1
74,15,115,113,1
74,15,91,115,1
74,15,65,116,1
74,15,66,116,1
74,15,18,118,1
74,15,15,119,1
74,15,31,119,1
74,15,73,123,1
74,15,63,126,1
74,15,102,127,1
