rep,rangepars,x,y,pres
92,15,49,2,1
92,15,95,4,1
92,15,11,7,1
92,15,74,7,1
92,15,56,9,1
92,15,97,9,1
92,15,34,10,1
92,15,97,10,1
92,15,70,12,1
92,15,19,14,1
92,15,125,14,1
92,15,63,16,1
92,15,78,19,1
92,15,86,20,1
92,15,12,21,1
92,15,36,22,1
92,15,102,23,1
92,15,84,25,1
92,15,9,26,1
92,15,27,27,1
92,15,5,28,1
92,15,61,31,1
92,15,15,32,1
92,15,102,32,1
92,15,63,33,1
92,15,97,35,1
92,15,112,35,1
92,15,81,37,1
92,15,110,37,1
92,15,118,38,1
92,15,98,39,1
92,15,96,40,1
92,15,44,43,1
92,15,59,43,1
92,15,119,43,1
92,15,42,44,1
92,15,64,45,1
92,15,77,48,1
92,15,125,51,1
92,15,28,52,1
92,15,36,52,1
92,15,127,55,1
92,15,55,57,1
92,15,5,58,1
92,15,103,58,1
92,15,47,60,1
92,15,26,61,1
92,15,93,62,1
92,15,28,64,1
92,15,91,65,1
92,15,38,66,1
92,15,11,67,1
92,15,125,67,1
92,15,22,68,1
92,15,69,68,1
92,15,127,69,1
92,15,58,70,1
92,15,41,72,1
92,15,71,72,1
92,15,93,72,1
92,15,87,74,1
92,15,49,76,1
92,15,119,81,1
92,15,120,81,1
92,15,30,82,1
92,15,63,83,1
92,15,88,83,1
92,15,120,84,1
92,15,1,85,1
92,15,45,86,1
92,15,9,90,1
92,15,74,90,1
92,15,78,94,1
92,15,113,94,1
92,15,24,96,1
92,15,77,97,1
92,15,42,98,1
92,15,13,99,1
92,15,33,100,1
92,15,38,100,1
92,15,71,103,1
92,15,12,104,1
92,15,112,106,1
92,15,114,106,1
92,15,12,108,1
92,15,16,108,1
92,15,25,108,1
92,15,43,109,1
92,15,8,110,1
92,15,13,111,1
92,15,107,113,1
92,15,88,114,1
92,15,99,114,1
92,15,104,114,1
92,15,104,116,1
92,15,119,116,1
92,15,28,118,1
92,15,95,122,1
92,15,80,124,1
92,15,8,127,1
