y,x,pres,rep,rangepar,disp,method
101,9,1,16,15,2,neutral
102,9,1,16,15,2,neutral
103,9,1,16,15,2,neutral
102,10,1,16,15,2,neutral
101,11,1,16,15,2,neutral
115,13,1,16,15,2,neutral
113,14,1,16,15,2,neutral
114,14,1,16,15,2,neutral
115,14,1,16,15,2,neutral
113,15,1,16,15,2,neutral
114,15,1,16,15,2,neutral
115,15,1,16,15,2,neutral
116,15,1,16,15,2,neutral
112,16,1,16,15,2,neutral
114,16,1,16,15,2,neutral
115,16,1,16,15,2,neutral
40,23,1,16,15,2,neutral
41,23,1,16,15,2,neutral
5,24,1,16,15,2,neutral
8,24,1,16,15,2,neutral
40,24,1,16,15,2,neutral
6,25,1,16,15,2,neutral
8,25,1,16,15,2,neutral
9,25,1,16,15,2,neutral
6,26,1,16,15,2,neutral
7,26,1,16,15,2,neutral
8,26,1,16,15,2,neutral
13,26,1,16,15,2,neutral
40,26,1,16,15,2,neutral
6,27,1,16,15,2,neutral
8,27,1,16,15,2,neutral
12,28,1,16,15,2,neutral
13,28,1,16,15,2,neutral
14,28,1,16,15,2,neutral
34,28,1,16,15,2,neutral
3,29,1,16,15,2,neutral
15,29,1,16,15,2,neutral
1,30,1,16,15,2,neutral
2,30,1,16,15,2,neutral
3,30,1,16,15,2,neutral
17,30,1,16,15,2,neutral
1,31,1,16,15,2,neutral
4,31,1,16,15,2,neutral
33,31,1,16,15,2,neutral
35,31,1,16,15,2,neutral
101,32,1,16,15,2,neutral
16,35,1,16,15,2,neutral
14,37,1,16,15,2,neutral
11,40,1,16,15,2,neutral
52,52,1,16,15,2,neutral
10,55,1,16,15,2,neutral
56,56,1,16,15,2,neutral
55,57,1,16,15,2,neutral
30,60,1,16,15,2,neutral
31,61,1,16,15,2,neutral
31,62,1,16,15,2,neutral
99,62,1,16,15,2,neutral
2,69,1,16,15,2,neutral
22,69,1,16,15,2,neutral
3,70,1,16,15,2,neutral
4,71,1,16,15,2,neutral
4,72,1,16,15,2,neutral
20,74,1,16,15,2,neutral
115,75,1,16,15,2,neutral
52,83,1,16,15,2,neutral
52,86,1,16,15,2,neutral
52,87,1,16,15,2,neutral
88,87,1,16,15,2,neutral
89,87,1,16,15,2,neutral
122,87,1,16,15,2,neutral
21,91,1,16,15,2,neutral
20,92,1,16,15,2,neutral
21,92,1,16,15,2,neutral
30,92,1,16,15,2,neutral
33,92,1,16,15,2,neutral
29,93,1,16,15,2,neutral
30,93,1,16,15,2,neutral
32,93,1,16,15,2,neutral
33,94,1,16,15,2,neutral
63,94,1,16,15,2,neutral
31,96,1,16,15,2,neutral
31,97,1,16,15,2,neutral
32,97,1,16,15,2,neutral
58,100,1,16,15,2,neutral
107,100,1,16,15,2,neutral
106,101,1,16,15,2,neutral
107,101,1,16,15,2,neutral
105,102,1,16,15,2,neutral
28,104,1,16,15,2,neutral
29,104,1,16,15,2,neutral
34,104,1,16,15,2,neutral
28,105,1,16,15,2,neutral
33,105,1,16,15,2,neutral
