rep,rangepars,x,y,pres
56,15,29,2,1
56,15,98,5,1
56,15,99,5,1
56,15,8,7,1
56,15,31,7,1
56,15,33,7,1
56,15,38,8,1
56,15,53,11,1
56,15,66,11,1
56,15,96,11,1
56,15,27,12,1
56,15,84,13,1
56,15,97,15,1
56,15,93,16,1
56,15,6,17,1
56,15,75,18,1
56,15,72,19,1
56,15,3,20,1
56,15,71,20,1
56,15,16,22,1
56,15,121,26,1
56,15,112,27,1
56,15,97,31,1
56,15,121,33,1
56,15,122,33,1
56,15,117,37,1
56,15,22,38,1
56,15,27,40,1
56,15,72,40,1
56,15,126,40,1
56,15,21,41,1
56,15,38,41,1
56,15,88,45,1
56,15,90,47,1
56,15,56,48,1
56,15,44,49,1
56,15,112,50,1
56,15,79,52,1
56,15,96,52,1
56,15,20,53,1
56,15,13,54,1
56,15,86,55,1
56,15,39,56,1
56,15,36,57,1
56,15,24,58,1
56,15,104,58,1
56,15,77,59,1
56,15,32,60,1
56,15,102,60,1
56,15,113,60,1
56,15,111,61,1
56,15,93,67,1
56,15,126,68,1
56,15,19,69,1
56,15,14,72,1
56,15,34,72,1
56,15,63,73,1
56,15,22,74,1
56,15,22,77,1
56,15,62,77,1
56,15,7,78,1
56,15,35,78,1
56,15,115,78,1
56,15,51,79,1
56,15,60,79,1
56,15,97,80,1
56,15,52,81,1
56,15,96,81,1
56,15,108,81,1
56,15,43,84,1
56,15,17,87,1
56,15,68,88,1
56,15,71,88,1
56,15,8,90,1
56,15,68,92,1
56,15,108,94,1
56,15,86,95,1
56,15,97,96,1
56,15,34,103,1
56,15,43,103,1
56,15,85,103,1
56,15,87,104,1
56,15,117,104,1
56,15,45,106,1
56,15,4,108,1
56,15,9,110,1
56,15,117,111,1
56,15,9,114,1
56,15,47,116,1
56,15,51,117,1
56,15,57,117,1
56,15,94,117,1
56,15,8,120,1
56,15,121,120,1
56,15,62,121,1
56,15,103,124,1
56,15,65,125,1
56,15,123,125,1
56,15,6,127,1
56,15,38,128,1
