y,x,pres,rep,rangepar,disp,method
33,5,1,24,30,2,neutral
33,6,1,24,30,2,neutral
128,7,1,24,30,2,neutral
127,8,1,24,30,2,neutral
1,11,1,24,30,2,neutral
2,12,1,24,30,2,neutral
84,12,1,24,30,2,neutral
11,16,1,24,30,2,neutral
47,16,1,24,30,2,neutral
48,16,1,24,30,2,neutral
121,16,1,24,30,2,neutral
122,16,1,24,30,2,neutral
11,17,1,24,30,2,neutral
48,17,1,24,30,2,neutral
49,17,1,24,30,2,neutral
122,17,1,24,30,2,neutral
49,18,1,24,30,2,neutral
50,19,1,24,30,2,neutral
7,20,1,24,30,2,neutral
20,26,1,24,30,2,neutral
21,26,1,24,30,2,neutral
22,26,1,24,30,2,neutral
19,27,1,24,30,2,neutral
20,27,1,24,30,2,neutral
72,39,1,24,30,2,neutral
73,39,1,24,30,2,neutral
34,40,1,24,30,2,neutral
74,40,1,24,30,2,neutral
33,41,1,24,30,2,neutral
75,41,1,24,30,2,neutral
74,42,1,24,30,2,neutral
33,43,1,24,30,2,neutral
32,44,1,24,30,2,neutral
82,44,1,24,30,2,neutral
33,45,1,24,30,2,neutral
80,45,1,24,30,2,neutral
89,46,1,24,30,2,neutral
90,46,1,24,30,2,neutral
106,47,1,24,30,2,neutral
106,48,1,24,30,2,neutral
117,55,1,24,30,2,neutral
116,58,1,24,30,2,neutral
117,59,1,24,30,2,neutral
98,63,1,24,30,2,neutral
9,66,1,24,30,2,neutral
10,66,1,24,30,2,neutral
9,67,1,24,30,2,neutral
11,67,1,24,30,2,neutral
127,70,1,24,30,2,neutral
48,72,1,24,30,2,neutral
128,72,1,24,30,2,neutral
47,73,1,24,30,2,neutral
48,73,1,24,30,2,neutral
46,74,1,24,30,2,neutral
47,74,1,24,30,2,neutral
16,76,1,24,30,2,neutral
99,76,1,24,30,2,neutral
65,82,1,24,30,2,neutral
11,83,1,24,30,2,neutral
12,83,1,24,30,2,neutral
13,83,1,24,30,2,neutral
65,83,1,24,30,2,neutral
37,85,1,24,30,2,neutral
37,86,1,24,30,2,neutral
35,87,1,24,30,2,neutral
34,88,1,24,30,2,neutral
54,88,1,24,30,2,neutral
35,89,1,24,30,2,neutral
36,90,1,24,30,2,neutral
83,93,1,24,30,2,neutral
83,94,1,24,30,2,neutral
84,94,1,24,30,2,neutral
93,105,1,24,30,2,neutral
13,112,1,24,30,2,neutral
14,113,1,24,30,2,neutral
15,114,1,24,30,2,neutral
19,114,1,24,30,2,neutral
120,115,1,24,30,2,neutral
121,115,1,24,30,2,neutral
16,116,1,24,30,2,neutral
18,117,1,24,30,2,neutral
59,117,1,24,30,2,neutral
61,117,1,24,30,2,neutral
63,117,1,24,30,2,neutral
64,117,1,24,30,2,neutral
65,117,1,24,30,2,neutral
59,118,1,24,30,2,neutral
63,118,1,24,30,2,neutral
64,118,1,24,30,2,neutral
62,119,1,24,30,2,neutral
61,120,1,24,30,2,neutral
59,124,1,24,30,2,neutral
81,124,1,24,30,2,neutral
82,124,1,24,30,2,neutral
105,124,1,24,30,2,neutral
79,125,1,24,30,2,neutral
82,125,1,24,30,2,neutral
82,127,1,24,30,2,neutral
84,127,1,24,30,2,neutral
86,128,1,24,30,2,neutral
127,7,1,24,30,5,neutral
59,11,1,24,30,5,neutral
7,14,1,24,30,5,neutral
9,14,1,24,30,5,neutral
87,14,1,24,30,5,neutral
77,15,1,24,30,5,neutral
84,15,1,24,30,5,neutral
1,17,1,24,30,5,neutral
79,17,1,24,30,5,neutral
85,17,1,24,30,5,neutral
87,17,1,24,30,5,neutral
90,19,1,24,30,5,neutral
61,21,1,24,30,5,neutral
26,22,1,24,30,5,neutral
66,23,1,24,30,5,neutral
25,27,1,24,30,5,neutral
10,37,1,24,30,5,neutral
122,38,1,24,30,5,neutral
7,40,1,24,30,5,neutral
5,41,1,24,30,5,neutral
82,42,1,24,30,5,neutral
33,43,1,24,30,5,neutral
77,45,1,24,30,5,neutral
81,46,1,24,30,5,neutral
39,47,1,24,30,5,neutral
106,47,1,24,30,5,neutral
47,48,1,24,30,5,neutral
42,51,1,24,30,5,neutral
105,53,1,24,30,5,neutral
122,53,1,24,30,5,neutral
44,54,1,24,30,5,neutral
102,55,1,24,30,5,neutral
114,55,1,24,30,5,neutral
103,56,1,24,30,5,neutral
124,56,1,24,30,5,neutral
9,58,1,24,30,5,neutral
10,58,1,24,30,5,neutral
19,59,1,24,30,5,neutral
107,59,1,24,30,5,neutral
117,59,1,24,30,5,neutral
8,60,1,24,30,5,neutral
91,64,1,24,30,5,neutral
110,64,1,24,30,5,neutral
123,65,1,24,30,5,neutral
110,66,1,24,30,5,neutral
