rep,rangepars,x,y,pres
5,15,73,4,1
5,15,13,6,1
5,15,56,6,1
5,15,3,8,1
5,15,82,10,1
5,15,61,12,1
5,15,22,14,1
5,15,34,16,1
5,15,5,17,1
5,15,38,18,1
5,15,101,18,1
5,15,111,21,1
5,15,92,22,1
5,15,29,24,1
5,15,96,24,1
5,15,106,26,1
5,15,103,29,1
5,15,40,30,1
5,15,101,30,1
5,15,104,30,1
5,15,4,31,1
5,15,58,31,1
5,15,71,31,1
5,15,108,32,1
5,15,20,34,1
5,15,22,35,1
5,15,61,36,1
5,15,125,36,1
5,15,92,37,1
5,15,27,38,1
5,15,113,38,1
5,15,34,41,1
5,15,31,42,1
5,15,16,43,1
5,15,44,43,1
5,15,49,43,1
5,15,63,43,1
5,15,49,47,1
5,15,92,47,1
5,15,93,48,1
5,15,52,50,1
5,15,64,52,1
5,15,8,53,1
5,15,12,53,1
5,15,89,53,1
5,15,38,54,1
5,15,21,56,1
5,15,108,57,1
5,15,1,61,1
5,15,22,62,1
5,15,84,63,1
5,15,86,65,1
5,15,14,67,1
5,15,33,71,1
5,15,86,71,1
5,15,124,71,1
5,15,50,72,1
5,15,52,73,1
5,15,127,73,1
5,15,26,74,1
5,15,107,80,1
5,15,123,80,1
5,15,97,81,1
5,15,92,86,1
5,15,88,87,1
5,15,22,88,1
5,15,77,88,1
5,15,122,88,1
5,15,39,92,1
5,15,71,93,1
5,15,23,94,1
5,15,75,95,1
5,15,40,100,1
5,15,20,102,1
5,15,25,104,1
5,15,126,104,1
5,15,5,105,1
5,15,73,107,1
5,15,76,108,1
5,15,119,108,1
5,15,32,109,1
5,15,37,109,1
5,15,39,109,1
5,15,78,109,1
5,15,99,110,1
5,15,100,110,1
5,15,102,115,1
5,15,73,116,1
5,15,99,116,1
5,15,119,116,1
5,15,56,118,1
5,15,41,119,1
5,15,87,119,1
5,15,81,121,1
5,15,44,122,1
5,15,122,122,1
5,15,11,124,1
5,15,55,124,1
5,15,108,125,1
5,15,55,126,1
