rep,rangepars,x,y,pres
85,5,44,1,1
85,5,42,3,1
85,5,41,4,1
85,5,94,5,1
85,5,78,7,1
85,5,96,9,1
85,5,13,11,1
85,5,32,11,1
85,5,16,13,1
85,5,18,16,1
85,5,59,16,1
85,5,14,17,1
85,5,34,17,1
85,5,109,17,1
85,5,21,18,1
85,5,24,18,1
85,5,66,19,1
85,5,69,20,1
85,5,31,23,1
85,5,33,23,1
85,5,46,25,1
85,5,84,26,1
85,5,121,26,1
85,5,43,28,1
85,5,91,28,1
85,5,42,30,1
85,5,79,33,1
85,5,52,34,1
85,5,60,35,1
85,5,90,38,1
85,5,39,39,1
85,5,28,40,1
85,5,34,41,1
85,5,40,41,1
85,5,71,41,1
85,5,46,42,1
85,5,38,43,1
85,5,20,44,1
85,5,49,45,1
85,5,82,45,1
85,5,86,47,1
85,5,11,49,1
85,5,101,53,1
85,5,14,54,1
85,5,7,57,1
85,5,33,57,1
85,5,70,57,1
85,5,113,58,1
85,5,26,62,1
85,5,75,64,1
85,5,65,65,1
85,5,86,65,1
85,5,41,66,1
85,5,125,66,1
85,5,97,68,1
85,5,97,71,1
85,5,61,72,1
85,5,122,73,1
85,5,74,74,1
85,5,120,75,1
85,5,79,76,1
85,5,47,79,1
85,5,79,79,1
85,5,127,79,1
85,5,52,83,1
85,5,43,84,1
85,5,26,90,1
85,5,112,90,1
85,5,31,91,1
85,5,68,91,1
85,5,30,94,1
85,5,101,94,1
85,5,95,95,1
85,5,17,97,1
85,5,71,98,1
85,5,46,101,1
85,5,27,102,1
85,5,94,102,1
85,5,59,103,1
85,5,105,103,1
85,5,92,105,1
85,5,77,106,1
85,5,18,110,1
85,5,111,112,1
85,5,4,114,1
85,5,13,115,1
85,5,122,116,1
85,5,30,117,1
85,5,101,117,1
85,5,115,117,1
85,5,78,118,1
85,5,127,118,1
85,5,90,119,1
85,5,101,120,1
85,5,45,121,1
85,5,14,122,1
85,5,18,122,1
85,5,72,123,1
85,5,77,128,1
85,5,103,128,1
