rep,rangepars,x,y,pres
51,15,28,2,1
51,15,102,4,1
51,15,1,6,1
51,15,5,11,1
51,15,46,13,1
51,15,96,14,1
51,15,47,17,1
51,15,65,21,1
51,15,9,23,1
51,15,33,23,1
51,15,117,23,1
51,15,48,25,1
51,15,95,25,1
51,15,116,25,1
51,15,60,26,1
51,15,115,27,1
51,15,59,28,1
51,15,47,30,1
51,15,49,30,1
51,15,50,31,1
51,15,16,34,1
51,15,21,36,1
51,15,37,36,1
51,15,126,36,1
51,15,34,41,1
51,15,92,41,1
51,15,128,41,1
51,15,36,42,1
51,15,115,44,1
51,15,89,45,1
51,15,74,48,1
51,15,43,49,1
51,15,76,49,1
51,15,2,50,1
51,15,56,52,1
51,15,78,53,1
51,15,1,55,1
51,15,48,56,1
51,15,82,56,1
51,15,66,58,1
51,15,9,59,1
51,15,73,60,1
51,15,28,61,1
51,15,52,61,1
51,15,67,62,1
51,15,17,63,1
51,15,47,63,1
51,15,61,65,1
51,15,69,66,1
51,15,58,67,1
51,15,126,67,1
51,15,16,69,1
51,15,56,70,1
51,15,59,70,1
51,15,40,72,1
51,15,74,72,1
51,15,48,75,1
51,15,90,75,1
51,15,99,75,1
51,15,123,75,1
51,15,8,77,1
51,15,8,80,1
51,15,69,80,1
51,15,3,81,1
51,15,20,82,1
51,15,5,84,1
51,15,73,84,1
51,15,95,84,1
51,15,30,85,1
51,15,88,85,1
51,15,123,87,1
51,15,28,88,1
51,15,123,89,1
51,15,72,94,1
51,15,90,94,1
51,15,83,95,1
51,15,107,95,1
51,15,112,97,1
51,15,104,98,1
51,15,70,99,1
51,15,42,100,1
51,15,124,100,1
51,15,34,106,1
51,15,69,106,1
51,15,51,107,1
51,15,126,107,1
51,15,27,108,1
51,15,59,109,1
51,15,13,111,1
51,15,89,115,1
51,15,75,116,1
51,15,93,118,1
51,15,120,120,1
51,15,104,122,1
51,15,26,124,1
51,15,91,124,1
51,15,100,124,1
51,15,88,125,1
51,15,69,126,1
51,15,92,126,1
