y,x,pres,rep,rangepar,disp,method
7,6,1,37,5,2,neutral
11,9,1,37,5,2,neutral
33,16,1,37,5,2,neutral
33,17,1,37,5,2,neutral
33,18,1,37,5,2,neutral
82,23,1,37,5,2,neutral
32,26,1,37,5,2,neutral
30,27,1,37,5,2,neutral
30,28,1,37,5,2,neutral
31,28,1,37,5,2,neutral
27,37,1,37,5,2,neutral
28,37,1,37,5,2,neutral
53,37,1,37,5,2,neutral
28,38,1,37,5,2,neutral
53,38,1,37,5,2,neutral
53,39,1,37,5,2,neutral
93,41,1,37,5,2,neutral
95,41,1,37,5,2,neutral
9,42,1,37,5,2,neutral
124,47,1,37,5,2,neutral
125,47,1,37,5,2,neutral
123,48,1,37,5,2,neutral
63,50,1,37,5,2,neutral
123,50,1,37,5,2,neutral
76,51,1,37,5,2,neutral
98,51,1,37,5,2,neutral
98,53,1,37,5,2,neutral
98,54,1,37,5,2,neutral
115,60,1,37,5,2,neutral
83,61,1,37,5,2,neutral
83,62,1,37,5,2,neutral
84,62,1,37,5,2,neutral
126,66,1,37,5,2,neutral
124,68,1,37,5,2,neutral
126,68,1,37,5,2,neutral
124,69,1,37,5,2,neutral
126,69,1,37,5,2,neutral
46,70,1,37,5,2,neutral
126,70,1,37,5,2,neutral
127,71,1,37,5,2,neutral
128,72,1,37,5,2,neutral
86,73,1,37,5,2,neutral
127,73,1,37,5,2,neutral
127,74,1,37,5,2,neutral
128,74,1,37,5,2,neutral
127,75,1,37,5,2,neutral
82,77,1,37,5,2,neutral
84,78,1,37,5,2,neutral
94,82,1,37,5,2,neutral
91,83,1,37,5,2,neutral
94,83,1,37,5,2,neutral
74,84,1,37,5,2,neutral
91,84,1,37,5,2,neutral
92,84,1,37,5,2,neutral
93,84,1,37,5,2,neutral
94,84,1,37,5,2,neutral
95,84,1,37,5,2,neutral
29,85,1,37,5,2,neutral
91,85,1,37,5,2,neutral
92,85,1,37,5,2,neutral
93,85,1,37,5,2,neutral
94,85,1,37,5,2,neutral
28,86,1,37,5,2,neutral
92,87,1,37,5,2,neutral
94,87,1,37,5,2,neutral
103,87,1,37,5,2,neutral
56,88,1,37,5,2,neutral
56,89,1,37,5,2,neutral
95,89,1,37,5,2,neutral
52,90,1,37,5,2,neutral
56,90,1,37,5,2,neutral
95,90,1,37,5,2,neutral
51,91,1,37,5,2,neutral
52,92,1,37,5,2,neutral
88,92,1,37,5,2,neutral
48,94,1,37,5,2,neutral
50,94,1,37,5,2,neutral
54,94,1,37,5,2,neutral
124,95,1,37,5,2,neutral
90,101,1,37,5,2,neutral
125,101,1,37,5,2,neutral
101,102,1,37,5,2,neutral
102,102,1,37,5,2,neutral
89,103,1,37,5,2,neutral
7,113,1,37,5,2,neutral
67,113,1,37,5,2,neutral
68,113,1,37,5,2,neutral
3,114,1,37,5,2,neutral
68,114,1,37,5,2,neutral
67,115,1,37,5,2,neutral
66,116,1,37,5,2,neutral
67,116,1,37,5,2,neutral
112,116,1,37,5,2,neutral
66,117,1,37,5,2,neutral
67,117,1,37,5,2,neutral
68,117,1,37,5,2,neutral
85,122,1,37,5,2,neutral
86,123,1,37,5,2,neutral
104,126,1,37,5,2,neutral
73,128,1,37,5,2,neutral
59,11,1,37,5,5,neutral
66,13,1,37,5,5,neutral
64,14,1,37,5,5,neutral
34,17,1,37,5,5,neutral
86,17,1,37,5,5,neutral
33,18,1,37,5,5,neutral
10,19,1,37,5,5,neutral
41,20,1,37,5,5,neutral
37,21,1,37,5,5,neutral
80,21,1,37,5,5,neutral
85,21,1,37,5,5,neutral
35,22,1,37,5,5,neutral
36,22,1,37,5,5,neutral
37,22,1,37,5,5,neutral
41,22,1,37,5,5,neutral
32,23,1,37,5,5,neutral
43,23,1,37,5,5,neutral
83,24,1,37,5,5,neutral
60,28,1,37,5,5,neutral
64,31,1,37,5,5,neutral
60,32,1,37,5,5,neutral
62,32,1,37,5,5,neutral
89,33,1,37,5,5,neutral
57,34,1,37,5,5,neutral
93,34,1,37,5,5,neutral
59,35,1,37,5,5,neutral
90,35,1,37,5,5,neutral
93,36,1,37,5,5,neutral
89,37,1,37,5,5,neutral
92,40,1,37,5,5,neutral
12,41,1,37,5,5,neutral
91,41,1,37,5,5,neutral
10,42,1,37,5,5,neutral
12,46,1,37,5,5,neutral
79,49,1,37,5,5,neutral
77,50,1,37,5,5,neutral
78,51,1,37,5,5,neutral
107,51,1,37,5,5,neutral
51,52,1,37,5,5,neutral
80,52,1,37,5,5,neutral
53,53,1,37,5,5,neutral
76,53,1,37,5,5,neutral
77,53,1,37,5,5,neutral
77,54,1,37,5,5,neutral
78,54,1,37,5,5,neutral
76,57,1,37,5,5,neutral
66,60,1,37,5,5,neutral
72,63,1,37,5,5,neutral
42,71,1,37,5,5,neutral
117,71,1,37,5,5,neutral
45,73,1,37,5,5,neutral
102,73,1,37,5,5,neutral
114,74,1,37,5,5,neutral
43,75,1,37,5,5,neutral
102,75,1,37,5,5,neutral
41,76,1,37,5,5,neutral
117,76,1,37,5,5,neutral
113,77,1,37,5,5,neutral
101,78,1,37,5,5,neutral
113,78,1,37,5,5,neutral
117,78,1,37,5,5,neutral
116,79,1,37,5,5,neutral
93,81,1,37,5,5,neutral
89,82,1,37,5,5,neutral
93,83,1,37,5,5,neutral
92,84,1,37,5,5,neutral
93,84,1,37,5,5,neutral
27,85,1,37,5,5,neutral
88,87,1,37,5,5,neutral
91,87,1,37,5,5,neutral
55,88,1,37,5,5,neutral
56,88,1,37,5,5,neutral
90,89,1,37,5,5,neutral
92,89,1,37,5,5,neutral
45,108,1,37,5,5,neutral
48,108,1,37,5,5,neutral
45,110,1,37,5,5,neutral
111,110,1,37,5,5,neutral
60,117,1,37,5,5,neutral
70,118,1,37,5,5,neutral
59,119,1,37,5,5,neutral
65,120,1,37,5,5,neutral
66,120,1,37,5,5,neutral
70,120,1,37,5,5,neutral
71,120,1,37,5,5,neutral
44,121,1,37,5,5,neutral
47,121,1,37,5,5,neutral
58,121,1,37,5,5,neutral
61,121,1,37,5,5,neutral
67,121,1,37,5,5,neutral
70,121,1,37,5,5,neutral
72,121,1,37,5,5,neutral
122,121,1,37,5,5,neutral
48,122,1,37,5,5,neutral
61,122,1,37,5,5,neutral
42,124,1,37,5,5,neutral
60,124,1,37,5,5,neutral
64,124,1,37,5,5,neutral
117,126,1,37,5,5,neutral
119,127,1,37,5,5,neutral
49,2,1,37,5,15,neutral
47,4,1,37,5,15,neutral
17,5,1,37,5,15,neutral
15,6,1,37,5,15,neutral
8,7,1,37,5,15,neutral
53,11,1,37,5,15,neutral
16,14,1,37,5,15,neutral
32,14,1,37,5,15,neutral
9,15,1,37,5,15,neutral
30,17,1,37,5,15,neutral
57,18,1,37,5,15,neutral
9,19,1,37,5,15,neutral
12,19,1,37,5,15,neutral
20,19,1,37,5,15,neutral
11,20,1,37,5,15,neutral
41,23,1,37,5,15,neutral
49,24,1,37,5,15,neutral
13,25,1,37,5,15,neutral
39,25,1,37,5,15,neutral
52,25,1,37,5,15,neutral
21,26,1,37,5,15,neutral
44,26,1,37,5,15,neutral
23,27,1,37,5,15,neutral
47,29,1,37,5,15,neutral
97,29,1,37,5,15,neutral
65,30,1,37,5,15,neutral
5,32,1,37,5,15,neutral
29,32,1,37,5,15,neutral
41,32,1,37,5,15,neutral
55,32,1,37,5,15,neutral
41,33,1,37,5,15,neutral
8,34,1,37,5,15,neutral
3,36,1,37,5,15,neutral
28,38,1,37,5,15,neutral
43,38,1,37,5,15,neutral
53,38,1,37,5,15,neutral
31,39,1,37,5,15,neutral
68,42,1,37,5,15,neutral
73,42,1,37,5,15,neutral
99,42,1,37,5,15,neutral
71,43,1,37,5,15,neutral
28,44,1,37,5,15,neutral
95,44,1,37,5,15,neutral
17,45,1,37,5,15,neutral
88,46,1,37,5,15,neutral
14,47,1,37,5,15,neutral
83,47,1,37,5,15,neutral
104,48,1,37,5,15,neutral
78,51,1,37,5,15,neutral
111,53,1,37,5,15,neutral
14,54,1,37,5,15,neutral
97,54,1,37,5,15,neutral
14,55,1,37,5,15,neutral
106,55,1,37,5,15,neutral
72,63,1,37,5,15,neutral
119,63,1,37,5,15,neutral
121,65,1,37,5,15,neutral
71,67,1,37,5,15,neutral
55,68,1,37,5,15,neutral
97,69,1,37,5,15,neutral
95,70,1,37,5,15,neutral
102,70,1,37,5,15,neutral
50,71,1,37,5,15,neutral
6,72,1,37,5,15,neutral
64,73,1,37,5,15,neutral
98,74,1,37,5,15,neutral
98,75,1,37,5,15,neutral
115,75,1,37,5,15,neutral
115,77,1,37,5,15,neutral
59,78,1,37,5,15,neutral
8,79,1,37,5,15,neutral
20,79,1,37,5,15,neutral
60,79,1,37,5,15,neutral
93,79,1,37,5,15,neutral
103,79,1,37,5,15,neutral
116,79,1,37,5,15,neutral
73,82,1,37,5,15,neutral
93,92,1,37,5,15,neutral
25,100,1,37,5,15,neutral
12,101,1,37,5,15,neutral
14,104,1,37,5,15,neutral
91,104,1,37,5,15,neutral
17,106,1,37,5,15,neutral
19,106,1,37,5,15,neutral
123,107,1,37,5,15,neutral
116,108,1,37,5,15,neutral
110,109,1,37,5,15,neutral
9,111,1,37,5,15,neutral
81,111,1,37,5,15,neutral
110,113,1,37,5,15,neutral
7,114,1,37,5,15,neutral
27,114,1,37,5,15,neutral
96,114,1,37,5,15,neutral
10,115,1,37,5,15,neutral
99,115,1,37,5,15,neutral
103,115,1,37,5,15,neutral
111,115,1,37,5,15,neutral
116,116,1,37,5,15,neutral
113,117,1,37,5,15,neutral
110,119,1,37,5,15,neutral
11,8,1,37,5,2,positive
104,14,1,37,5,2,positive
42,17,1,37,5,2,positive
41,18,1,37,5,2,positive
41,19,1,37,5,2,positive
32,26,1,37,5,2,positive
34,26,1,37,5,2,positive
20,32,1,37,5,2,positive
53,32,1,37,5,2,positive
56,32,1,37,5,2,positive
57,32,1,37,5,2,positive
55,33,1,37,5,2,positive
56,33,1,37,5,2,positive
58,33,1,37,5,2,positive
55,34,1,37,5,2,positive
28,37,1,37,5,2,positive
27,38,1,37,5,2,positive
11,39,1,37,5,2,positive
28,39,1,37,5,2,positive
12,40,1,37,5,2,positive
109,40,1,37,5,2,positive
109,42,1,37,5,2,positive
7,43,1,37,5,2,positive
7,44,1,37,5,2,positive
9,44,1,37,5,2,positive
110,44,1,37,5,2,positive
5,45,1,37,5,2,positive
8,46,1,37,5,2,positive
63,46,1,37,5,2,positive
9,47,1,37,5,2,positive
60,47,1,37,5,2,positive
62,47,1,37,5,2,positive
75,47,1,37,5,2,positive
60,48,1,37,5,2,positive
75,48,1,37,5,2,positive
104,48,1,37,5,2,positive
103,49,1,37,5,2,positive
60,50,1,37,5,2,positive
75,50,1,37,5,2,positive
101,50,1,37,5,2,positive
77,52,1,37,5,2,positive
77,53,1,37,5,2,positive
78,54,1,37,5,2,positive
88,57,1,37,5,2,positive
115,57,1,37,5,2,positive
115,58,1,37,5,2,positive
116,58,1,37,5,2,positive
113,59,1,37,5,2,positive
114,59,1,37,5,2,positive
116,59,1,37,5,2,positive
81,60,1,37,5,2,positive
82,60,1,37,5,2,positive
112,60,1,37,5,2,positive
114,60,1,37,5,2,positive
115,60,1,37,5,2,positive
116,60,1,37,5,2,positive
81,61,1,37,5,2,positive
114,61,1,37,5,2,positive
115,61,1,37,5,2,positive
115,62,1,37,5,2,positive
116,62,1,37,5,2,positive
28,63,1,37,5,2,positive
31,63,1,37,5,2,positive
116,63,1,37,5,2,positive
29,64,1,37,5,2,positive
35,64,1,37,5,2,positive
27,65,1,37,5,2,positive
11,66,1,37,5,2,positive
125,67,1,37,5,2,positive
125,68,1,37,5,2,positive
40,69,1,37,5,2,positive
41,69,1,37,5,2,positive
45,69,1,37,5,2,positive
47,69,1,37,5,2,positive
41,70,1,37,5,2,positive
124,70,1,37,5,2,positive
40,71,1,37,5,2,positive
41,71,1,37,5,2,positive
42,71,1,37,5,2,positive
41,72,1,37,5,2,positive
42,72,1,37,5,2,positive
45,72,1,37,5,2,positive
105,72,1,37,5,2,positive
44,73,1,37,5,2,positive
104,73,1,37,5,2,positive
103,74,1,37,5,2,positive
104,74,1,37,5,2,positive
104,75,1,37,5,2,positive
47,107,1,37,5,2,positive
48,108,1,37,5,2,positive
8,111,1,37,5,2,positive
7,112,1,37,5,2,positive
109,117,1,37,5,2,positive
110,117,1,37,5,2,positive
111,117,1,37,5,2,positive
75,118,1,37,5,2,positive
109,118,1,37,5,2,positive
50,124,1,37,5,2,positive
51,124,1,37,5,2,positive
73,125,1,37,5,2,positive
32,20,1,37,5,5,positive
82,20,1,37,5,5,positive
83,20,1,37,5,5,positive
80,22,1,37,5,5,positive
81,22,1,37,5,5,positive
27,23,1,37,5,5,positive
83,23,1,37,5,5,positive
37,24,1,37,5,5,positive
82,24,1,37,5,5,positive
27,25,1,37,5,5,positive
36,25,1,37,5,5,positive
37,25,1,37,5,5,positive
81,25,1,37,5,5,positive
82,25,1,37,5,5,positive
31,26,1,37,5,5,positive
36,26,1,37,5,5,positive
30,27,1,37,5,5,positive
86,27,1,37,5,5,positive
40,29,1,37,5,5,positive
66,30,1,37,5,5,positive
57,34,1,37,5,5,positive
76,40,1,37,5,5,positive
9,42,1,37,5,5,positive
74,42,1,37,5,5,positive
71,43,1,37,5,5,positive
69,46,1,37,5,5,positive
72,46,1,37,5,5,positive
78,46,1,37,5,5,positive
75,47,1,37,5,5,positive
13,48,1,37,5,5,positive
76,48,1,37,5,5,positive
79,48,1,37,5,5,positive
71,49,1,37,5,5,positive
79,49,1,37,5,5,positive
107,49,1,37,5,5,positive
71,50,1,37,5,5,positive
57,52,1,37,5,5,positive
68,52,1,37,5,5,positive
99,52,1,37,5,5,positive
77,53,1,37,5,5,positive
79,53,1,37,5,5,positive
98,53,1,37,5,5,positive
100,53,1,37,5,5,positive
99,56,1,37,5,5,positive
99,59,1,37,5,5,positive
102,59,1,37,5,5,positive
102,60,1,37,5,5,positive
37,68,1,37,5,5,positive
39,68,1,37,5,5,positive
42,69,1,37,5,5,positive
106,69,1,37,5,5,positive
12,70,1,37,5,5,positive
6,72,1,37,5,5,positive
15,74,1,37,5,5,positive
103,74,1,37,5,5,positive
108,76,1,37,5,5,positive
93,80,1,37,5,5,positive
73,83,1,37,5,5,positive
91,83,1,37,5,5,positive
76,84,1,37,5,5,positive
98,85,1,37,5,5,positive
93,87,1,37,5,5,positive
89,88,1,37,5,5,positive
93,88,1,37,5,5,positive
86,89,1,37,5,5,positive
89,89,1,37,5,5,positive
84,90,1,37,5,5,positive
89,90,1,37,5,5,positive
90,91,1,37,5,5,positive
96,91,1,37,5,5,positive
98,91,1,37,5,5,positive
30,92,1,37,5,5,positive
65,92,1,37,5,5,positive
63,93,1,37,5,5,positive
61,94,1,37,5,5,positive
64,94,1,37,5,5,positive
122,94,1,37,5,5,positive
126,94,1,37,5,5,positive
120,96,1,37,5,5,positive
119,97,1,37,5,5,positive
127,98,1,37,5,5,positive
51,100,1,37,5,5,positive
53,100,1,37,5,5,positive
128,101,1,37,5,5,positive
103,102,1,37,5,5,positive
53,103,1,37,5,5,positive
55,104,1,37,5,5,positive
104,104,1,37,5,5,positive
125,107,1,37,5,5,positive
21,108,1,37,5,5,positive
46,108,1,37,5,5,positive
112,109,1,37,5,5,positive
114,109,1,37,5,5,positive
52,110,1,37,5,5,positive
105,114,1,37,5,5,positive
85,115,1,37,5,5,positive
84,116,1,37,5,5,positive
85,116,1,37,5,5,positive
108,116,1,37,5,5,positive
107,123,1,37,5,5,positive
86,1,1,37,5,15,positive
101,1,1,37,5,15,positive
22,15,1,37,5,15,positive
11,17,1,37,5,15,positive
17,17,1,37,5,15,positive
59,21,1,37,5,15,positive
48,22,1,37,5,15,positive
56,22,1,37,5,15,positive
107,22,1,37,5,15,positive
39,23,1,37,5,15,positive
37,24,1,37,5,15,positive
30,25,1,37,5,15,positive
48,25,1,37,5,15,positive
90,25,1,37,5,15,positive
30,26,1,37,5,15,positive
14,28,1,37,5,15,positive
113,28,1,37,5,15,positive
38,29,1,37,5,15,positive
48,29,1,37,5,15,positive
51,29,1,37,5,15,positive
62,29,1,37,5,15,positive
66,29,1,37,5,15,positive
69,30,1,37,5,15,positive
2,31,1,37,5,15,positive
57,31,1,37,5,15,positive
58,31,1,37,5,15,positive
117,32,1,37,5,15,positive
59,33,1,37,5,15,positive
57,34,1,37,5,15,positive
62,34,1,37,5,15,positive
114,34,1,37,5,15,positive
112,35,1,37,5,15,positive
67,39,1,37,5,15,positive
75,39,1,37,5,15,positive
112,39,1,37,5,15,positive
62,40,1,37,5,15,positive
103,41,1,37,5,15,positive
110,44,1,37,5,15,positive
66,45,1,37,5,15,positive
116,45,1,37,5,15,positive
106,47,1,37,5,15,positive
95,49,1,37,5,15,positive
102,50,1,37,5,15,positive
52,51,1,37,5,15,positive
85,51,1,37,5,15,positive
110,51,1,37,5,15,positive
77,53,1,37,5,15,positive
83,55,1,37,5,15,positive
81,56,1,37,5,15,positive
83,57,1,37,5,15,positive
93,57,1,37,5,15,positive
88,60,1,37,5,15,positive
90,64,1,37,5,15,positive
120,67,1,37,5,15,positive
56,69,1,37,5,15,positive
124,69,1,37,5,15,positive
79,70,1,37,5,15,positive
71,72,1,37,5,15,positive
63,73,1,37,5,15,positive
59,74,1,37,5,15,positive
61,74,1,37,5,15,positive
66,77,1,37,5,15,positive
56,78,1,37,5,15,positive
104,78,1,37,5,15,positive
92,81,1,37,5,15,positive
117,81,1,37,5,15,positive
123,82,1,37,5,15,positive
65,83,1,37,5,15,positive
51,86,1,37,5,15,positive
52,86,1,37,5,15,positive
101,87,1,37,5,15,positive
56,88,1,37,5,15,positive
105,89,1,37,5,15,positive
120,90,1,37,5,15,positive
47,93,1,37,5,15,positive
84,97,1,37,5,15,positive
91,97,1,37,5,15,positive
119,97,1,37,5,15,positive
83,98,1,37,5,15,positive
87,98,1,37,5,15,positive
117,98,1,37,5,15,positive
124,98,1,37,5,15,positive
75,99,1,37,5,15,positive
66,100,1,37,5,15,positive
80,100,1,37,5,15,positive
88,101,1,37,5,15,positive
123,101,1,37,5,15,positive
125,101,1,37,5,15,positive
9,109,1,37,5,15,positive
73,111,1,37,5,15,positive
2,112,1,37,5,15,positive
13,113,1,37,5,15,positive
127,115,1,37,5,15,positive
112,116,1,37,5,15,positive
58,117,1,37,5,15,positive
72,117,1,37,5,15,positive
49,118,1,37,5,15,positive
56,118,1,37,5,15,positive
113,118,1,37,5,15,positive
50,120,1,37,5,15,positive
11,7,1,37,5,2,negative
32,16,1,37,5,2,negative
31,17,1,37,5,2,negative
33,17,1,37,5,2,negative
30,18,1,37,5,2,negative
85,18,1,37,5,2,negative
31,19,1,37,5,2,negative
34,20,1,37,5,2,negative
16,26,1,37,5,2,negative
18,26,1,37,5,2,negative
30,26,1,37,5,2,negative
112,26,1,37,5,2,negative
17,28,1,37,5,2,negative
20,28,1,37,5,2,negative
30,28,1,37,5,2,negative
62,29,1,37,5,2,negative
65,29,1,37,5,2,negative
66,29,1,37,5,2,negative
111,29,1,37,5,2,negative
113,29,1,37,5,2,negative
17,30,1,37,5,2,negative
65,30,1,37,5,2,negative
16,31,1,37,5,2,negative
18,31,1,37,5,2,negative
57,34,1,37,5,2,negative
25,35,1,37,5,2,negative
25,36,1,37,5,2,negative
26,36,1,37,5,2,negative
27,36,1,37,5,2,negative
26,37,1,37,5,2,negative
27,37,1,37,5,2,negative
29,37,1,37,5,2,negative
55,37,1,37,5,2,negative
27,38,1,37,5,2,negative
28,38,1,37,5,2,negative
57,38,1,37,5,2,negative
29,39,1,37,5,2,negative
55,39,1,37,5,2,negative
8,45,1,37,5,2,negative
9,45,1,37,5,2,negative
12,47,1,37,5,2,negative
119,63,1,37,5,2,negative
118,64,1,37,5,2,negative
124,69,1,37,5,2,negative
6,72,1,37,5,2,negative
5,73,1,37,5,2,negative
7,73,1,37,5,2,negative
6,74,1,37,5,2,negative
91,84,1,37,5,2,negative
92,85,1,37,5,2,negative
90,86,1,37,5,2,negative
44,87,1,37,5,2,negative
89,87,1,37,5,2,negative
43,88,1,37,5,2,negative
61,89,1,37,5,2,negative
63,89,1,37,5,2,negative
91,89,1,37,5,2,negative
92,89,1,37,5,2,negative
59,91,1,37,5,2,negative
61,91,1,37,5,2,negative
60,92,1,37,5,2,negative
61,93,1,37,5,2,negative
124,93,1,37,5,2,negative
122,94,1,37,5,2,negative
123,94,1,37,5,2,negative
126,94,1,37,5,2,negative
123,96,1,37,5,2,negative
124,96,1,37,5,2,negative
124,97,1,37,5,2,negative
123,100,1,37,5,2,negative
125,100,1,37,5,2,negative
12,103,1,37,5,2,negative
48,105,1,37,5,2,negative
49,106,1,37,5,2,negative
49,110,1,37,5,2,negative
50,110,1,37,5,2,negative
47,111,1,37,5,2,negative
49,111,1,37,5,2,negative
67,113,1,37,5,2,negative
4,115,1,37,5,2,negative
6,115,1,37,5,2,negative
5,116,1,37,5,2,negative
115,116,1,37,5,2,negative
116,116,1,37,5,2,negative
54,117,1,37,5,2,negative
115,117,1,37,5,2,negative
112,118,1,37,5,2,negative
119,119,1,37,5,2,negative
120,119,1,37,5,2,negative
121,120,1,37,5,2,negative
123,120,1,37,5,2,negative
124,121,1,37,5,2,negative
48,122,1,37,5,2,negative
52,122,1,37,5,2,negative
53,122,1,37,5,2,negative
125,122,1,37,5,2,negative
50,123,1,37,5,2,negative
51,123,1,37,5,2,negative
53,124,1,37,5,2,negative
105,127,1,37,5,2,negative
9,4,1,37,5,5,negative
10,5,1,37,5,5,negative
8,6,1,37,5,5,negative
103,8,1,37,5,5,negative
105,10,1,37,5,5,negative
31,17,1,37,5,5,negative
32,19,1,37,5,5,negative
84,20,1,37,5,5,negative
34,21,1,37,5,5,negative
35,21,1,37,5,5,negative
85,21,1,37,5,5,negative
32,22,1,37,5,5,negative
29,23,1,37,5,5,negative
66,29,1,37,5,5,negative
53,35,1,37,5,5,negative
27,37,1,37,5,5,negative
30,38,1,37,5,5,negative
54,39,1,37,5,5,negative
88,39,1,37,5,5,negative
58,40,1,37,5,5,negative
11,41,1,37,5,5,negative
17,41,1,37,5,5,negative
105,41,1,37,5,5,negative
57,42,1,37,5,5,negative
103,43,1,37,5,5,negative
16,46,1,37,5,5,negative
14,47,1,37,5,5,negative
15,47,1,37,5,5,negative
13,48,1,37,5,5,negative
56,48,1,37,5,5,negative
77,48,1,37,5,5,negative
53,49,1,37,5,5,negative
54,50,1,37,5,5,negative
109,50,1,37,5,5,negative
77,53,1,37,5,5,negative
78,53,1,37,5,5,negative
53,54,1,37,5,5,negative
73,56,1,37,5,5,negative
75,56,1,37,5,5,negative
77,58,1,37,5,5,negative
117,58,1,37,5,5,negative
119,58,1,37,5,5,negative
76,59,1,37,5,5,negative
119,59,1,37,5,5,negative
75,60,1,37,5,5,negative
115,60,1,37,5,5,negative
77,61,1,37,5,5,negative
110,63,1,37,5,5,negative
10,64,1,37,5,5,negative
12,65,1,37,5,5,negative
120,67,1,37,5,5,negative
121,68,1,37,5,5,negative
6,72,1,37,5,5,negative
73,72,1,37,5,5,negative
77,73,1,37,5,5,negative
113,76,1,37,5,5,negative
105,79,1,37,5,5,negative
113,79,1,37,5,5,negative
92,85,1,37,5,5,negative
104,87,1,37,5,5,negative
105,87,1,37,5,5,negative
56,88,1,37,5,5,negative
26,89,1,37,5,5,negative
27,89,1,37,5,5,negative
24,91,1,37,5,5,negative
26,91,1,37,5,5,negative
61,92,1,37,5,5,negative
122,93,1,37,5,5,negative
24,94,1,37,5,5,negative
46,97,1,37,5,5,negative
120,97,1,37,5,5,negative
124,98,1,37,5,5,negative
122,99,1,37,5,5,negative
12,101,1,37,5,5,negative
47,101,1,37,5,5,negative
47,102,1,37,5,5,negative
92,102,1,37,5,5,negative
93,102,1,37,5,5,negative
90,104,1,37,5,5,negative
95,105,1,37,5,5,negative
9,109,1,37,5,5,negative
7,111,1,37,5,5,negative
11,111,1,37,5,5,negative
13,111,1,37,5,5,negative
10,112,1,37,5,5,negative
30,112,1,37,5,5,negative
30,114,1,37,5,5,negative
77,114,1,37,5,5,negative
26,115,1,37,5,5,negative
75,116,1,37,5,5,negative
26,119,1,37,5,5,negative
87,120,1,37,5,5,negative
53,122,1,37,5,5,negative
21,123,1,37,5,5,negative
50,123,1,37,5,5,negative
121,124,1,37,5,5,negative
124,126,1,37,5,5,negative
122,127,1,37,5,5,negative
123,128,1,37,5,5,negative
126,128,1,37,5,5,negative
15,1,1,37,5,15,negative
74,4,1,37,5,15,negative
31,9,1,37,5,15,negative
51,10,1,37,5,15,negative
59,11,1,37,5,15,negative
55,12,1,37,5,15,negative
59,14,1,37,5,15,negative
60,14,1,37,5,15,negative
105,14,1,37,5,15,negative
113,15,1,37,5,15,negative
33,17,1,37,5,15,negative
54,18,1,37,5,15,negative
113,20,1,37,5,15,negative
38,21,1,37,5,15,negative
58,21,1,37,5,15,negative
104,21,1,37,5,15,negative
67,22,1,37,5,15,negative
69,27,1,37,5,15,negative
2,28,1,37,5,15,negative
62,29,1,37,5,15,negative
17,38,1,37,5,15,negative
62,38,1,37,5,15,negative
53,40,1,37,5,15,negative
16,41,1,37,5,15,negative
65,41,1,37,5,15,negative
71,43,1,37,5,15,negative
63,44,1,37,5,15,negative
21,45,1,37,5,15,negative
9,46,1,37,5,15,negative
57,46,1,37,5,15,negative
82,46,1,37,5,15,negative
16,47,1,37,5,15,negative
58,47,1,37,5,15,negative
16,51,1,37,5,15,negative
52,51,1,37,5,15,negative
66,53,1,37,5,15,negative
22,57,1,37,5,15,negative
113,58,1,37,5,15,negative
119,63,1,37,5,15,negative
