rep,rangepars,x,y,pres
47,30,12,1,1
47,30,106,1,1
47,30,7,7,1
47,30,55,7,1
47,30,111,8,1
47,30,31,9,1
47,30,32,9,1
47,30,117,9,1
47,30,46,11,1
47,30,17,13,1
47,30,15,15,1
47,30,16,15,1
47,30,89,15,1
47,30,35,16,1
47,30,50,16,1
47,30,4,17,1
47,30,100,17,1
47,30,17,18,1
47,30,23,18,1
47,30,23,23,1
47,30,26,23,1
47,30,8,26,1
47,30,77,26,1
47,30,58,27,1
47,30,107,30,1
47,30,10,32,1
47,30,28,34,1
47,30,29,35,1
47,30,105,38,1
47,30,104,39,1
47,30,95,40,1
47,30,18,42,1
47,30,27,44,1
47,30,11,47,1
47,30,43,52,1
47,30,19,53,1
47,30,82,53,1
47,30,38,55,1
47,30,81,55,1
47,30,84,58,1
47,30,59,59,1
47,30,55,60,1
47,30,80,61,1
47,30,71,62,1
47,30,23,63,1
47,30,58,64,1
47,30,85,64,1
47,30,24,66,1
47,30,119,66,1
47,30,82,69,1
47,30,118,69,1
47,30,92,70,1
47,30,124,70,1
47,30,86,71,1
47,30,5,73,1
47,30,66,73,1
47,30,79,76,1
47,30,92,76,1
47,30,82,77,1
47,30,62,79,1
47,30,17,81,1
47,30,43,81,1
47,30,93,82,1
47,30,59,85,1
47,30,78,85,1
47,30,105,85,1
47,30,23,86,1
47,30,8,88,1
47,30,9,89,1
47,30,12,89,1
47,30,116,90,1
47,30,42,91,1
47,30,80,91,1
47,30,3,92,1
47,30,120,93,1
47,30,110,94,1
47,30,11,95,1
47,30,50,95,1
47,30,77,96,1
47,30,93,100,1
47,30,93,102,1
47,30,104,102,1
47,30,53,103,1
47,30,61,106,1
47,30,23,107,1
47,30,29,107,1
47,30,30,107,1
47,30,45,108,1
47,30,11,112,1
47,30,85,114,1
47,30,66,117,1
47,30,79,117,1
47,30,113,117,1
47,30,124,118,1
47,30,85,120,1
47,30,97,120,1
47,30,66,123,1
47,30,73,123,1
47,30,104,124,1
47,30,15,126,1
